id,swedish,status,severity,verdict,add_or_fix,direction,issue,why,verifier_note,current_properties
spring-roll-wrappers,vårrulleark,validated,medium,-,contains-gluten,bad-alias,"Aliases 'rispapper,risdeg' refer to gluten-free rice paper, a different product than wheat spring-roll wrappers",Matching rice paper to this gluten-tagged row gives a false 'contains gluten' (annoying) and blurs two distinct products; keep wheat wrappers and rice paper separate.,,"contains-gluten,plant-based,vegan-friendly"
sultanina,sultanina,validated,medium,-,sulfites,missing-property,Golden raisins (sultanas) are the textbook sulfite-treated dried fruit but carry no sulfites,Gyllene russin keep their color specifically via sulfur dioxide treatment; register tags sulfites on wine/vinegar so dried fruit should follow the same practice.,,"plant-based,vegan-friendly"
taco-shells,tacoskal,draft,medium,-,contains-gluten,wrong-property,contains-gluten on corn taco shells conflicts with its own alias 'majsskal',"Hard taco shells are typically 100% corn and gluten-free; conservative false 'contains' is not dangerous, but the row contradicts itself and should be resolved (or split wheat vs corn shells).",,"contains-gluten,plant-based,vegan-friendly"
tempura-batter,tempurasmet,validated,medium,-,egg,missing-property,Tempura batter has gluten but no egg; classic tempura batter contains egg,Traditional tempura smet is flour + egg + water; many mixes contain egg powder. Vegan-friendly claim is doubtful.,,"contains-gluten,plant-based,vegan-friendly"
veggie-bacon,vegetariskt bacon,draft,medium,-,soy and/or contains-gluten,missing-property,Vegetariskt bacon has only 'processed' — no allergen properties,Vegobacon is typically soy- or seitan(wheat)-based; empty allergen set → false free-from.,,processed
veggie-meatballs,vegetariska köttbullar,draft,medium,-,"soy, contains-gluten, egg (product-typical)",missing-property,Vegetariska köttbullar have only 'processed' — no allergen properties at all,Commercial veggie meatballs almost always contain soy and/or wheat protein and often egg; an empty allergen set makes every verdict 'free from'.,,processed
vinaigrette,vinaigrette,validated,medium,-,mustard,missing-property,Vinaigrette lacks mustard even though classic vinaigrette/salladsdressing normally contains Dijon,"Mustard is a standard emulsifier in vinaigrette; senap is a declared EU allergen. Not universal, hence medium.",,"doesnt-freeze-well,plant-based,processed,sulfites,vegan-friendly"
waffle-mix,våffelmix,draft,medium,-,"dairy (milk powder), possibly egg",missing-property,Våffelmix tagged vegan-friendly with no dairy/egg,Commercial Swedish waffle/pancake mixes commonly contain skummjölkspulver; gluten is present but dairy risk is unmodelled.,,"contains-gluten,plant-based,processed,vegan-friendly"
water-chestnuts,vattenkastajer,draft,medium,-,tree-nut,wrong-property,Vattenkastanj tagged tree-nut,"Water chestnut is an aquatic vegetable corm, not a nut — false 'contains nötter' on many Asian recipes. Also the Swedish name is misspelled ('vattenkastajer').",,"plant-based,tree-nut,vegan-friendly"
wiener-sausage,wienerkorv,draft,medium,-,beef,missing-property,Wienerkorv/varmkorv commonly contains beef in addition to pork; beef property missing,"Many Swedish varmkorv products are pork+beef mixes. Brand-dependent, so medium rather than danger, but a conservative register should carry beef on generic korv rows.",,"animal-product,meat,needs-cooking,pork,processed"
bread-spice-mix,brödkryddor,validated,low,-,contains-gluten,wrong-property,Brödkryddor tagged contains-gluten,"Bread spice is anise/fennel/caraway/pomerans — no gluten source; produces false 'contains gluten' (annoying, not dangerous).",,"contains-gluten,plant-based,vegan-friendly"
butter-biscuit,smörkex,validated,low,-,contains-gluten,bad-alias,"Alias 'butterscotch' means a caramel candy, not a butter biscuit",Butterscotch is dairy candy without gluten; matching it to smörkex adds a false gluten 'contains'. Wrong direction is safe but the alias is simply incorrect.,,"animal-product,contains-gluten,contains-lactose,dairy"
casein,kasein,draft,low,-,contains-lactose,wrong-property,Casein tagged contains-lactose,"Purified casein/casein protein is essentially lactose-free (milk protein, not milk sugar); dairy is correct, but contains-lactose gives a false 'contains laktos'.",,"animal-product,contains-lactose,dairy,processed"
chestnut-flour,kastanjemjöl,draft,low,-,tree-nut,wrong-property,Chestnut flour tagged tree-nut; chestnut is not an EU tree-nut allergen,"Same as chestnuts — false 'contains nötter', annoying rather than dangerous.",,"plant-based,tree-nut,vegan-friendly"
chestnuts,kastanjer,draft,low,-,tree-nut,wrong-property,Chestnuts tagged tree-nut but chestnut is not an EU Annex II tree nut,"EU allergen list enumerates specific nuts (almond, hazelnut, walnut, cashew, pecan, brazil, pistachio, macadamia); chestnut is excluded, so this creates a false 'contains nötter' verdict.",,"plant-based,tree-nut,vegan-friendly"
cocktail-sauce,cocktailsås,validated,low,-,"fish, seafood",wrong-property,Cocktailsås tagged fish/seafood,Rose/cocktail sauce is mayo+ketchup+cream; it is served WITH seafood but contains none. False 'contains fisk'. (Egg tag is correct.),,"animal-product,egg,fish,nightshade,processed,seafood"
coconut-whole,kokosnöt,validated,low,-,tree-nut,wrong-property,Whole coconut carries tree-nut property,"Coconut is not among the EU Annex II tree nuts and coconut-allergy is distinct; this yields false 'contains nötter'. Note inconsistency: sibling coconut rows (flesh, milk, oil) have no tree-nut. Annoying, not dangerous.",,"plant-based,tree-nut,vegan-friendly"
conchiglie,snäckor,draft,low,-,mollusc,bad-alias,Swedish name/context 'snäckor' colloquially also means snails/sea snails,"A recipe saying 'snäckor' in a seafood context (escargots, sea snails = mollusc) could match this gluten pasta with no mollusc property. Low likelihood in Swedish home recipes but worth a disambiguating alias.",,"contains-gluten,plant-based,vegan-friendly"
cranberry-juice,tranbärsjuice,validated,low,-,,bad-alias,Alias 'lingonsaft' is a different product (lingonberry drink),"No allergen difference, but the alias maps lingon drinks to cranberry juice — data-quality noise rather than safety risk.",,"plant-based,vegan-friendly"
fiddlehead,stensöta,draft,low,-,,other,Swedish name 'stensöta' is a different fern (Polypodium); fiddlehead/ormbunksskott is the intended ingredient,"Naming error, no allergen impact; could mislabel recipes. Alias 'ormbunksknoppar' is the correct concept.",,"needs-cooking,plant-based,vegan-friendly"
fish-broth,fiskbuljong,draft,low,-,,wrong-group,Fiskbuljong grouped under other/beverage instead of a broth/stock or condiment group,"Allergen props (fish, seafood, animal-product) are correct, so no safety impact, but 'beverage' is clearly the wrong category for a stock/fond.",,"animal-product,fish,seafood"
gingerbread-spice,pepparkakskrydda,draft,low,-,contains-gluten,wrong-property,"Pepparkakskrydda tagged contains-gluten; it is a pure spice blend (cinnamon, ginger, cloves, cardamom) with no cereal component","False 'contains gluten' verdict on any recipe using gingerbread spice; annoying over-blocking, not a safety risk.",,"contains-gluten,plant-based,vegan-friendly"
gronsaksblandning,grönsaksblandning,validated,low,-,,wrong-group,Mixed vegetables grouped as vegetable/leaf,Cosmetic; frozen veg mixes are allergen-clean so no safety impact.,,"plant-based,vegan-friendly"
hemp-milk,hampadryck,validated,low,-,animal-product,wrong-property,Hemp drink tagged animal-product instead of plant-based/vegan-friendly,Hampadryck is fully plant-based; animal-product is not allergen-mapped but is clearly wrong and could mislead vegan filtering.,,animal-product
honeydew-melon,honungsmelon,validated,low,-,animal-product,wrong-property,Plain melon carries animal-product alongside plant-based,Contradictory props on plain produce; not allergen-mapped but wrong.,,"animal-product,doesnt-freeze-well,plant-based"
household-cheese,hushållsost,draft,low,-,dairy,bad-alias,"Alias 'husmanskost' means traditional home cooking, not hushållsost","Any recipe text mentioning 'husmanskost' would falsely match a dairy cheese — false 'contains mjölk', annoying rather than dangerous.",,"animal-product,contains-lactose,dairy"
jellyfish,manet,draft,low,-,seafood,wrong-group,Jellyfish grouped under protein/seafood/shellfish with generic seafood prop but is neither crustacean nor mollusc,"Cnidarian, not an EU-14 shellfish; if 'seafood' feeds the combined skaldjur verdict this produces a false 'contains skaldjur' (safe direction, but miscategorized).",,"animal-product,needs-cooking,seafood"
kastanj,kastanj,draft,low,-,tree-nut,wrong-property,"Sweet chestnut tagged tree-nut, but chestnut is not on the EU Annex II tree-nut list","EU tree nuts = almond, hazelnut, walnut, cashew, pecan, brazil, pistachio, macadamia. False 'contains nötter' for chestnut; arguably conservative-safe, so low severity.",,"plant-based,tree-nut,vegan-friendly"
krossad-tomat,krossad tomat,validated,low,-,,wrong-group,Crushed tomatoes grouped as vegetable/onion-family,"Should be fruit-veg like other tomato rows (58, 138); passerad-tomat (123) has the same mistake. No allergen impact.",,"nightshade,plant-based,vegan-friendly"
kryddkål,kryddkål,validated,low,-,,wrong-group,Savoy cabbage grouped as vegetable/onion-family,"Cabbage is a brassica leaf vegetable, not onion-family; no allergen impact.",,"plant-based,vegan-friendly"
mealworms,mjölmask,validated,low,-,,other,Edible insects marked with the 'meat' property and no crustacean cross-allergy note,"EU novel-food labeling requires a crustacean/dust-mite cross-reactivity warning for insects; the schema has no dedicated prop, but a crustacean-allergic user relying on 'fri från kräftdjur' is a residual risk worth noting.",,"animal-product,meat,needs-cooking,processed"
medwurst,medwurst,draft,low,-,,bad-alias,"Alias 'leverwurst' names a different product (liver sausage), and 'medisterkorv' is also a distinct sausage","Both aliases are pork-based so allergen impact is limited, but leverwurst/medisterkorv frequently contain milk protein, which medvurst's row (no dairy) would then miss when matched via alias.",,"animal-product,meat,pork,processed"
oat-cream,havregrädde,draft,low,-,,wrong-group,Plant-based oat cream grouped under protein/dairy,"Havregrädde is a vegan cream substitute; props are correct (no dairy, contains-gluten present), but protein/dairy group is a miscategorization.",,"contains-gluten,plant-based,vegan-friendly"
passerad-tomat,passerad tomat,validated,low,-,,wrong-group,Passata grouped as vegetable/onion-family,Same miscategorization as krossad-tomat; no allergen impact.,,"nightshade,plant-based,vegan-friendly"
pork-belly,sidfläsk,draft,low,-,,bad-alias,Generic aliases 'fläsk' and 'fläskkött' mapped to sidfläsk specifically,"Allergen-safe (still pork/meat) but 'fläskkött' in a recipe usually means any pork cut, not belly — affects matching quality, not safety.",,"animal-product,meat,needs-cooking,pork"
rice,ris,validated,low,-,dairy,bad-alias,"Alias 'risotto' on plain rice — risotto colloquially means the finished dish (parmesan, wine, butter)",A recipe line 'risotto' matched to plain rice could mask dairy/sulfites of the actual dish; low because ingredient lines usually mean risotto rice.,,"plant-based,vegan-friendly"
sea-lettuce,havssallad,validated,low,-,,wrong-group,"Seaweeds (sea-lettuce, nori, wakame) grouped as vegetable/root","Algae are not root vegetables; no allergen impact, cosmetic categorization issue (also seaweed-nori, seaweed-wakame).",,"doesnt-freeze-well,plant-based,vegan-friendly"
soy-cream,sojagrädde,draft,low,-,dairy (group),wrong-group,Soy cream grouped under protein/dairy,"It is a plant-based dairy substitute; props correctly omit dairy so verdicts are unaffected, but the group is misleading.",,"plant-based,soy,vegan-friendly"
spenat,spenat,validated,low,-,,wrong-group,Spinach grouped under vegetable/onion-family,Should be vegetable/leaf; no allergen impact.,,"plant-based,vegan-friendly"
spit-cake,spettekaka,draft,low,-,contains-gluten,wrong-property,"Spettekaka tagged contains-gluten, but it is traditionally made with potato starch (gluten-free)","Classic skånsk spettekaka = eggs + sugar + potatismjöl; the gluten tag is a false 'contains'. Some commercial variants add wheat, so keeping it is conservative — low severity, verify recipe basis.",,"animal-product,contains-gluten,egg"
vinegar-essence-12,ättikssprit 12%,draft,low,-,sulfites,wrong-property,Ättikssprit tagged sulfites,"Ättikssprit is diluted synthetic acetic acid, not fermented wine vinegar — it does not contain sulfites. Produces a false 'contains sulfiter' (annoying, not dangerous). Same applies to vinegar-essence-24.",,"plant-based,sulfites,vegan-friendly"
vinegar-essence-24,ättikssprit 24%,draft,low,-,sulfites,wrong-property,Ättikssprit 24% tagged sulfites,Same as the 12% row: synthetic acetic acid carries no sulfites; false 'contains' verdict.,,"plant-based,sulfites,vegan-friendly"
wheat-starch,vetestärkelse,draft,low,-,contains-gluten,wrong-group,Wheat starch grouped under grain/flour/gluten-free while carrying contains-gluten,"Props are correct (safe default: non-certified vetestärkelse contains gluten), but the gluten-free group is contradictory and could mislead future edits.",,"contains-gluten,plant-based,vegan-friendly"
white-vinegar,ättika,draft,low,-,sulfites,wrong-property,Ättika tagged sulfites,"Ättika/ättikssprit is diluted synthetic acetic acid, not fermented wine vinegar — sulfites unwarranted; false 'contains sulfiter'.",,"plant-based,sulfites,vegan-friendly"
äggrom,äggrom,validated,low,-,,other,"Name 'äggrom' suggests egg but row is fish roe (props fish, alias fiskrom); ambiguous naming could match egg-yolk contexts","Props are correct for roe (fish, no egg); flagging only the confusing id/name which could mismatch recipe text like 'äggula'.",,"animal-product,fish,needs-cooking,seafood"
